Seed,Dataset,Model,Sequence Length,Embedding Size,Memory Usage (MB),Training Time (seconds),Training Time per Epoch (seconds),NDCG@10,HIT@10
42,ML-20M,LinRec,200,128,11505,2001,100,0.754,0.940
42,ML-20M,LinRec,200,256,12584,3168,158,0.783,0.946
123,ML-20M,LinRec,50,64,2792,656,33,0.717,0.920
123,ML-20M,LinRec,50,128,2961,771,39,0.751,0.931
123,ML-20M,LinRec,50,256,3316,1064,53,0.772,0.939
123,ML-20M,LinRec,100,64,5521,938,47,0.715,0.921
123,ML-20M,LinRec,100,128,5817,1185,59,0.755,0.938
123,ML-20M,LinRec,100,256,6388,1735,87,0.775,0.945
123,ML-20M,LinRec,200,64,10993,1531,77,0.711,0.922
123,ML-20M,LinRec,200,128,11505,1990,99,0.752,0.935
123,ML-20M,LinRec,200,256,12584,3364,168,0.778,0.944
